Name,Institute,URL
Dr. Yogesh Shouche,"NCCS, Pune, SKAN Research Trust, Bangaluru",investigators/yogesh_shouche.html
Dr. Dhiraj Dhotre,"NCCS, Pune",investigators/dhiraj_dhotre.html
Prof. Govind K Makharia,"AIIMS, Delhi",investigators/govind_makharia.html
Sanjay Juvekar,"KEMHRC, Pune",investigators/sanjay_juvekar.html
Dr. Balakrishnan Ramakrishna,"SRM Institutes for Medical Science, Chennai",investigators/balkrishnan_ramkrishna.html
Dr. Vineet Ahuja,"AIIMS, Delhi",investigators/vineet_ahuja.html
Dr. Sarangthem Indira Devi,"IBSD, Imphal",investigators/indira_devi.html
Dr. Dhiraj Agrawal,"KEMHRC, Pune",investigators/dhiraj_agrawal.html
Dr. Shantanu Ozarkar,"SPPU, Pune",investigators/shantanu_ozarkar.html
Dr. Subrahmanya Kumar Kukkupuni,"TDU, Bangalore",investigators/Subrahmanya_Kukkupuni.html
Dr. Girish Tillu,"SPPU, Pune",investigators/girish_tillu.html
Dr. John Mechenro,"SRM Institutes for Medical Science, Chennai",investigators/John_Mechenro.html
Prof. Anand Krishnan,"AIIMS, Delhi",investigators/anand_krishnan.html
